#Año,Servicio,Programa,Concepto,Descripción,Importe
2016,06,912B,22703,Servicios postales y de mensajería,3330
2016,06,912B,22706,"Estudios, trabajos técnicos y honor. profesionales",57780
2016,06,912B,23000,Indemnizaciones por razón del servicio,56000
2016,06,912B,62500,Mobiliarios y enseres,165500
2016,06,912B,62600,Equipamiento para proceso de la información,15500
2016,06,912B,62800,Otros activos materiales,20000
2016,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12657
2016,06,912A,10001,Otras remuneraciones,47149
2016,06,912A,16010,Cuotas sociales altos cargos,13906
2016,06,912D,11000,Retrib. básicas y otras remuner. Pers. Eventual,77929
2016,06,912D,12000,Sueldo,8463
2016,06,912D,12005,Trienios,2273
2016,06,912D,12101,Complementos al puesto de trabajo,5660
2016,06,912D,12103,Complementos específico,7179
2016,06,912D,12109,Otros complementos,243
2016,06,912D,12300,Asignación por destino fuera de la C.A.C.,6475
2016,06,912D,13000,Salario Base,22539
2016,06,912D,13001,Otras remuneraciones,17717
2016,06,912D,13005,Antiguedad,2510
2016,06,912D,13100,Salario base,22539
2016,06,912D,13101,Otras remuneraciones,17717
2016,06,912D,13105,Antiguedad,2022
2016,06,912D,13300,Asign. por destino fuera de CAC para pers. laboral,24154
2016,06,912D,16011,Cuotas sociales personal eventual,20813
2016,06,912D,16012,Cuotas sociales funcionarios y pers. estatutario,7633
2016,06,912D,16013,Cuotas sociales laborales,26946
2016,06,912D,20400,Elementos de transporte,1000
2016,06,912D,20500,Mobiliario y enseres,750
2016,06,912D,20600,Equipamiento para proceso de la información,150
2016,06,912D,21500,Mobiliario y enseres,200
2016,06,912D,21600,Equipamiento para proceso de la información,150
2016,06,912D,22000,Material de oficina ordinario no inventariable,2500
2016,06,912D,22001,"Prensa, revistas, libros y otras publicaciones",1500
2016,06,912D,22002,Material informático no inventariable,3500
2016,06,912D,22009,Otros suministros no tarifados,1950
2016,06,912D,22201,Postales,900
2016,06,912D,22203,Telex y telefax,450
2016,06,912D,22301,Otros transportes,300
2016,06,912D,22606,"Reuniones, cursos y conferencias",27000
2016,06,912D,22609,Otros,20000
2016,06,912D,22703,Servicios postales y de mensajería,900
2016,06,912D,22706,"Estudios, trabajos técnicos y honor. profesionales",83030
2016,06,912D,22917,Día de Canarias,261000
2016,06,912D,22925,Program. Divulgac. y desarrollo autogobierno,250000
2016,06,912D,23000,Indemnizaciones por razón del servicio,46000
2016,06,912D,44300,A Sociedades mercantiles públicas de la C.A.C.,1160000
2016,06,912D,48000,A familias e instituciones sin fines de lucro,22388
2016,06,912D,48200,A fundaciones,300000
2016,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12657
2016,06,912A,10001,Otras remuneraciones,46413
2016,06,912A,16010,Cuotas sociales altos cargos,13906
2016,06,921D,13000,Salario Base,90155
2016,06,921D,13001,Otras remuneraciones,70866
2016,06,921D,13005,Antiguedad,14148
2016,06,921D,13100,Salario base,12323
2016,06,921D,13101,Otras remuneraciones,4475
2016,06,921D,13105,Antiguedad,2830
2016,06,921D,16013,Cuotas sociales laborales,59957
2016,06,921D,21301,Instalaciones técnicas,7500
2016,06,921D,21500,Mobiliario y enseres,500
2016,06,921D,21600,Equipamiento para proceso de la información,1700
2016,06,921D,22000,Material de oficina ordinario no inventariable,3500
2016,06,921D,22001,"Prensa, revistas, libros y otras publicaciones",9000
2016,06,921D,22002,Material informático no inventariable,2500
2016,06,921D,22202,Telegráficas,150
2016,06,921D,22203,Telex y telefax,750
2016,06,921D,22204,Informáticas,60000
2016,06,921D,22602,Publicidad y propaganda,159000
2016,06,921D,22606,"Reuniones, cursos y conferencias",3420
2016,06,921D,22703,Servicios postales y de mensajería,750
2016,06,921D,22706,"Estudios, trabajos técnicos y honor. profesionales",88400
2016,06,921D,23000,Indemnizaciones por razón del servicio,28000
2016,06,921D,47000,A Empresas Privadas,700000
2016,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12107
2016,06,912A,10001,Otras remuneraciones,56176
2016,06,912A,16010,Cuotas sociales altos cargos,13906
2016,06,912C,21301,Instalaciones técnicas,150
2016,06,912C,21500,Mobiliario y enseres,600
2016,06,912C,21600,Equipamiento para proceso de la información,900
2016,06,912C,22000,Material de oficina ordinario no inventariable,5000
2016,06,912C,22001,"Prensa, revistas, libros y otras publicaciones",10000
2016,06,912C,22002,Material informático no inventariable,1500
2016,06,912C,22004,Productos alimenticios,1000
2016,06,912C,22009,Otros suministros no tarifados,1350
2016,06,912C,22201,Postales,1500
2016,06,912C,22202,Telegráficas,750
2016,06,912C,22301,Otros transportes,1507
2016,06,912C,22601,Atenciones protocolarias y representativas,2000
2016,06,912C,22606,"Reuniones, cursos y conferencias",22294
2016,06,912C,22703,Servicios postales y de mensajería,3500
2016,06,912C,23000,Indemnizaciones por razón del servicio,50000
2016,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12657
2016,06,912A,10001,Otras remuneraciones,47149
2016,06,912A,16010,Cuotas sociales altos cargos,13906
2016,06,921D,11000,Retrib. básicas y otras remuner. Pers. Eventual,22842
2016,06,921D,11005,Trienios/Antigüedad,405
2016,06,921D,12000,Sueldo,131986
2016,06,921D,12005,Trienios,35119
2016,06,921D,12101,Complementos al puesto de trabajo,94891
2016,06,921D,12102,Indemnizaciones por residencia,15000
2016,06,921D,12103,Complementos específico,159300
2016,06,921D,12109,Otros complementos,1092
2016,06,921D,13000,Salario Base,14535
2016,06,921D,13001,Otras remuneraciones,8078
2016,06,921D,13005,Antiguedad,3235
2016,06,921D,16011,Cuotas sociales personal eventual,7136
2016,06,921D,16012,Cuotas sociales funcionarios y pers. estatutario,103403
2016,06,921D,16013,Cuotas sociales laborales,8271
2016,06,921D,22000,Material de oficina ordinario no inventariable,150
2016,06,921D,22001,"Prensa, revistas, libros y otras publicaciones",3500
2016,06,921D,22002,Material informático no inventariable,2462
2016,06,921D,22009,Otros suministros no tarifados,827
2016,06,921D,22602,Publicidad y propaganda,276000
2016,06,921D,22603,Jurídicos y contenciosos,30000
2016,06,921D,22606,"Reuniones, cursos y conferencias",4245
2016,06,921D,22706,"Estudios, trabajos técnicos y honor. profesionales",132600
2016,06,921D,22982,Campaña institucional de Navidad,118580
2016,06,921D,22983,Contratación de Servicios de Noticias,365000
2016,06,921D,23000,Indemnizaciones por razón del servicio,24000
2016,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12657
2016,06,912A,10001,Otras remuneraciones,46413
2016,06,912A,16010,Cuotas sociales altos cargos,11007
2016,06,912D,11000,Retrib. básicas y otras remuner. Pers. Eventual,825887
2016,06,912D,11005,Trienios/Antigüedad,1768
2016,06,912D,12000,Sueldo,35372
2016,06,912D,12005,Trienios,7085
2016,06,912D,12101,Complementos al puesto de trabajo,22638
2016,06,912D,12102,Indemnizaciones por residencia,3397
2016,06,912D,12103,Complementos específico,32027
2016,06,912D,12109,Otros complementos,917
2016,06,912D,16011,Cuotas sociales personal eventual,232460
2016,06,912D,16012,Cuotas sociales funcionarios y pers. estatutario,25250
2016,06,912D,20400,Elementos de transporte,2500
2016,06,912D,20500,Mobiliario y enseres,750
2016,06,912D,20600,Equipamiento para proceso de la información,150
2016,06,912D,21500,Mobiliario y enseres,150
2016,06,912D,22000,Material de oficina ordinario no inventariable,7000
2016,06,912D,22001,"Prensa, revistas, libros y otras publicaciones",6500
2016,06,912D,22002,Material informático no inventariable,2000
2016,06,912D,22009,Otros suministros no tarifados,1000
2016,06,912D,22201,Postales,900
2016,06,912D,22203,Telex y telefax,450
2016,06,912D,22301,Otros transportes,300
2016,06,912D,22601,Atenciones protocolarias y representativas,15000
2016,06,912D,22606,"Reuniones, cursos y conferencias",40500
2016,06,912D,22609,Otros,35000
2016,06,912D,22703,Servicios postales y de mensajería,900
2016,06,912D,22706,"Estudios, trabajos técnicos y honor. profesionales",5000
2016,06,912D,23000,Indemnizaciones por razón del servicio,80000
2016,06,912D,48000,A familias e instituciones sin fines de lucro,134000
2016,06,912H,22948,Gtos mantenim. Oficina del Gobierno en Madrid,225782
2016,06,912H,44800,A Fundaciones Públicas de la C.A.C.,81623
2016,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12657
2016,06,912A,10001,Otras remuneraciones,46413
2016,06,912A,16010,Cuotas sociales altos cargos,13906
2016,06,912E,11000,Retrib. básicas y otras remuner. Pers. Eventual,224169
2016,06,912E,16011,Cuotas sociales personal eventual,58598
2016,06,912E,22000,Material de oficina ordinario no inventariable,2500
2016,06,912E,22001,"Prensa, revistas, libros y otras publicaciones",5510
2016,06,912E,22002,Material informático no inventariable,3500
2016,06,912E,22009,Otros suministros no tarifados,2000
2016,06,912E,22201,Postales,451
2016,06,912E,22202,Telegráficas,150
2016,06,912E,22203,Telex y telefax,30
2016,06,912E,22301,Otros transportes,301
2016,06,912E,22606,"Reuniones, cursos y conferencias",7000
2016,06,912E,22613,Gastos de edición y distribución de publicaciones,2518
2016,06,912E,22703,Servicios postales y de mensajería,902
2016,06,912E,23000,Indemnizaciones por razón del servicio,55000
2016,06,912E,48000,A familias e instituciones sin fines de lucro,10000
2016,06,912E,78000,A Familias e Instituciones sin fines de lucro,10000
2016,06,142A,11000,Retrib. básicas y otras remuner. Pers. Eventual,98650
2016,06,142A,12000,Sueldo,41734
2016,06,142A,12005,Trienios,12098
2016,06,142A,12101,Complementos al puesto de trabajo,28912
2016,06,142A,12102,Indemnizaciones por residencia,4619
2016,06,142A,12103,Complementos específico,41137
2016,06,142A,12109,Otros complementos,719
2016,06,142A,13000,Salario Base,89418
2016,06,142A,13001,Otras remuneraciones,59551
2016,06,142A,13005,Antiguedad,16873
2016,06,142A,13100,Salario base,37916
2016,06,142A,13101,Otras remuneraciones,14108
2016,06,142A,13105,Antiguedad,3982
2016,06,142A,16011,Cuotas sociales personal eventual,27324
2016,06,142A,16012,Cuotas sociales funcionarios y pers. estatutario,29484
2016,06,142A,16013,Cuotas sociales laborales,68446
2016,06,142A,21500,Mobiliario y enseres,900
2016,06,142A,21600,Equipamiento para proceso de la información,549
2016,06,142A,22000,Material de oficina ordinario no inventariable,7500
2016,06,142A,22001,"Prensa, revistas, libros y otras publicaciones",1500
2016,06,142A,22002,Material informático no inventariable,2750
2016,06,142A,22003,Vestuario y lencería,1100
2016,06,142A,22009,Otros suministros no tarifados,2500
2016,06,142A,22109,Otros suministros,100
2016,06,142A,22201,Postales,12867
2016,06,142A,22301,Otros transportes,5500
2016,06,142A,22601,Atenciones protocolarias y representativas,1000
2016,06,142A,22606,"Reuniones, cursos y conferencias",13000
2016,06,142A,22609,Otros,34500
2016,06,142A,22703,Servicios postales y de mensajería,15104
2016,06,142A,22706,"Estudios, trabajos técnicos y honor. profesionales",6000
2016,06,142A,22950,Oficinas de representación del Gobierno,10000
2016,06,142A,23000,Indemnizaciones por razón del servicio,46500
2016,06,142A,44800,A Fundaciones Públicas de la C.A.C.,456854
2016,06,142A,74800,A Fundaciones Públicas de la C.A.C.,21400
2016,06,143A,11000,Retrib. básicas y otras remuner. Pers. Eventual,59060
2016,06,143A,12000,Sueldo,25388
2016,06,143A,12005,Trienios,6556
2016,06,143A,12101,Complementos al puesto de trabajo,16336
2016,06,143A,12102,Indemnizaciones por residencia,1501
2016,06,143A,12103,Complementos específico,19327
2016,06,143A,12109,Otros complementos,758
2016,06,143A,12300,Asignación por destino fuera de la C.A.C.,20738
2016,06,143A,13000,Salario Base,45078
2016,06,143A,13001,Otras remuneraciones,35433
2016,06,143A,13005,Antiguedad,4852
2016,06,143A,16011,Cuotas sociales personal eventual,15863
2016,06,143A,16012,Cuotas sociales funcionarios y pers. estatutario,12846
2016,06,143A,16013,Cuotas sociales laborales,26827
2016,06,231P,22997,Entidades Canarias en el Exterior,10000
2016,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12657
2016,06,912A,10001,Otras remuneraciones,47149
2016,06,912A,10005,Trienios/Antigüedad,4640
2016,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12657
2016,06,912A,10001,Otras remuneraciones,47149
2016,06,912A,10005,Trienios/Antigüedad,10325
2016,06,912B,13105,Antiguedad,172
2016,06,921B,12000,Sueldo,437663
2016,06,921B,12005,Trienios,105544
2016,06,921B,12101,Complementos al puesto de trabajo,336614
2016,06,921B,12102,Indemnizaciones por residencia,53555
2016,06,921B,12103,Complementos específico,552993
2016,06,921B,12109,Otros complementos,3168
2016,06,921B,13000,Salario Base,41076
2016,06,921B,13001,Otras remuneraciones,18395
2016,06,921B,13005,Antiguedad,10221
2016,06,921B,13100,Salario base,79623
2016,06,921B,13101,Otras remuneraciones,31539
2016,06,921B,13105,Antiguedad,12215
2016,06,921B,16012,Cuotas sociales funcionarios y pers. estatutario,320847
2016,06,921B,16013,Cuotas sociales laborales,60178
2016,06,921B,20200,Edificios y otras construcciones,151000
2016,06,921B,21200,Edificios y otras construcciones,4379
2016,06,921B,21400,Elementos de transportes,2800
2016,06,921B,21500,Mobiliario y enseres,5261
2016,06,921B,21600,Equipamiento para proceso de la información,30500
2016,06,921B,22000,Material de oficina ordinario no inventariable,12362
2016,06,921B,22001,"Prensa, revistas, libros y otras publicaciones",26708
2016,06,921B,22002,Material informático no inventariable,11000
2016,06,921B,22003,Vestuario y lencería,2018
2016,06,921B,22101,Agua,350
2016,06,921B,22103,Combustible,3000
2016,06,921B,22201,Postales,198
2016,06,921B,22301,Otros transportes,6000
2016,06,921B,22500,Tributos locales,250
2016,06,921B,22606,"Reuniones, cursos y conferencias",3000
2016,06,921B,22700,Limpieza y aseo,26760
2016,06,921B,22701,Seguridad,25034
2016,06,921B,22703,Servicios postales y de mensajería,7954
2016,06,921B,22706,"Estudios, trabajos técnicos y honor. profesionales",27639
2016,06,921B,23000,Indemnizaciones por razón del servicio,40994
2016,06,912A,11000,Retrib. básicas y otras remuner. Pers. Eventual,78198
2016,06,912A,16010,Cuotas sociales altos cargos,3194
2016,06,912A,16011,Cuotas sociales personal eventual,19237
2016,06,912K,22000,Material de oficina ordinario no inventariable,2000
2016,06,912K,22001,"Prensa, revistas, libros y otras publicaciones",3500
2016,06,912K,22002,Material informático no inventariable,1500
2016,06,912K,22009,Otros suministros no tarifados,1500
2016,06,912K,22202,Telegráficas,600
2016,06,912K,22606,"Reuniones, cursos y conferencias",18000
2016,06,912K,22609,Otros,3700
2016,06,912K,22706,"Estudios, trabajos técnicos y honor. profesionales",300000
2016,06,912K,23000,Indemnizaciones por razón del servicio,24000
2016,06,231P,22000,Material de oficina ordinario no inventariable,3500
2016,06,231P,22001,"Prensa, revistas, libros y otras publicaciones",1500
2016,06,231P,22002,Material informático no inventariable,2500
2016,06,231P,22009,Otros suministros no tarifados,1500
2016,06,231P,22201,Postales,750
2016,06,231P,22606,"Reuniones, cursos y conferencias",2500
2016,06,231P,22703,Servicios postales y de mensajería,3500
2016,06,231P,22706,"Estudios, trabajos técnicos y honor. profesionales",8500
2016,06,231P,23000,Indemnizaciones por razón del servicio,27000
2016,06,231P,49000,Al exterior,1380000
2016,06,231P,79000,Al Exterior,70000
2016,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12657
2016,06,912A,10001,Otras remuneraciones,46413
2016,06,912A,10005,Trienios/Antigüedad,2842
2016,06,912A,16010,Cuotas sociales altos cargos,11007
2016,06,143A,22000,Material de oficina ordinario no inventariable,1750
2016,06,143A,22001,"Prensa, revistas, libros y otras publicaciones",750
2016,06,143A,22002,Material informático no inventariable,2937
2016,06,143A,22009,Otros suministros no tarifados,2500
2016,06,143A,22201,Postales,2500
2016,06,143A,22301,Otros transportes,5500
2016,06,143A,22403,Otros riesgos,800
2016,06,143A,22606,"Reuniones, cursos y conferencias",3000
2016,06,143A,22703,Servicios postales y de mensajería,3500
2016,06,143A,23000,Indemnizaciones por razón del servicio,19500
2016,06,143A,49000,Al exterior,320000
2016,06,143A,79000,Al Exterior,60000
2016,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,13442
2016,06,912A,16010,Cuotas sociales altos cargos,3388
2016,06,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,13442
2016,06,912A,16010,Cuotas sociales altos cargos,3388
2016,06,912E,22000,Material de oficina ordinario no inventariable,1500
2016,06,912E,22001,"Prensa, revistas, libros y otras publicaciones",2700
2016,06,912E,22002,Material informático no inventariable,2000
2016,06,912E,22009,Otros suministros no tarifados,1000
2016,06,912E,22201,Postales,600
2016,06,912E,22606,"Reuniones, cursos y conferencias",7000
2016,06,912E,22613,Gastos de edición y distribución de publicaciones,3500
2016,06,912E,22706,"Estudios, trabajos técnicos y honor. profesionales",12000
2016,06,912E,23000,Indemnizaciones por razón del servicio,15000
2016,08,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12382
2016,08,912A,10001,Otras remuneraciones,53694
2016,08,912A,10005,Trienios/Antigüedad,1709
2016,08,912A,11000,Retrib. básicas y otras remuner. Pers. Eventual,95220
2016,08,912A,12000,Sueldo,33144
2016,08,912A,12005,Trienios,5434
2016,08,912A,12101,Complementos al puesto de trabajo,21350
2016,08,912A,12102,Indemnizaciones por residencia,2844
2016,08,912A,12103,Complementos específico,30370
2016,08,912A,12109,Otros complementos,976
2016,08,912A,13000,Salario Base,13271
2016,08,912A,13001,Otras remuneraciones,5159
2016,08,912A,13005,Antiguedad,3639
2016,08,912A,16010,Cuotas sociales altos cargos,11007
2016,08,912A,16011,Cuotas sociales personal eventual,28943
2016,08,912A,16012,Cuotas sociales funcionarios y pers. estatutario,23782
2016,08,912A,16013,Cuotas sociales laborales,6991
2016,08,912A,22001,"Prensa, revistas, libros y otras publicaciones",1091
2016,08,912A,22601,Atenciones protocolarias y representativas,2500
2016,08,912A,22606,"Reuniones, cursos y conferencias",1455
2016,08,912A,23000,Indemnizaciones por razón del servicio,19315
2016,08,232B,42010,A Organismos Autónomos,6880723
2016,08,232B,72010,A Organismos Autónomos de la C.A.C.,8000
2016,08,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12657
2016,08,912A,10001,Otras remuneraciones,46413
2016,08,912A,10005,Trienios/Antigüedad,5697
2016,08,912A,16010,Cuotas sociales altos cargos,14085
2016,08,921A,12000,Sueldo,545990
2016,08,921A,12005,Trienios,146405
2016,08,921A,12101,Complementos al puesto de trabajo,378751
2016,08,921A,12102,Indemnizaciones por residencia,58781
2016,08,921A,12103,Complementos específico,564014
2016,08,921A,12109,Otros complementos,8764
2016,08,921A,13000,Salario Base,209065
2016,08,921A,13001,Otras remuneraciones,128637
2016,08,921A,13005,Antiguedad,47105
2016,08,921A,13006,Horas extras,7193
2016,08,921A,15100,Gratificaciones,9646
2016,08,921A,16012,Cuotas sociales funcionarios y pers. estatutario,371087
2016,08,921A,16013,Cuotas sociales laborales,117687
2016,08,921A,17002,Insuficiencias y Otras Contingencias,229642
2016,08,921A,20500,Mobiliario y enseres,13774
2016,08,921A,21400,Elementos de transportes,9700
2016,08,921A,21500,Mobiliario y enseres,5820
2016,08,921A,22000,Material de oficina ordinario no inventariable,9977
2016,08,921A,22001,"Prensa, revistas, libros y otras publicaciones",9500
2016,08,921A,22002,Material informático no inventariable,2289
2016,08,921A,22003,Vestuario y lencería,2910
2016,08,921A,22009,Otros suministros no tarifados,2243
2016,08,921A,22103,Combustible,15726
2016,08,921A,22201,Postales,37044
2016,08,921A,22202,Telegráficas,548
2016,08,921A,22301,Otros transportes,1499
2016,08,921A,22500,Tributos locales,1894
2016,08,921A,22601,Atenciones protocolarias y representativas,500
2016,08,921A,22606,"Reuniones, cursos y conferencias",970
2016,08,921A,22613,Gastos de edición y distribución de publicaciones,1222
2016,08,921A,22703,Servicios postales y de mensajería,21168
2016,08,921A,22709,Otros trabajos realizados por empresas o I.S.F.L.,2764
2016,08,921A,22990,Gastos Boletín Oficial de Canarias,266267
2016,08,921A,23000,Indemnizaciones por razón del servicio,11167
2016,08,921A,62500,Mobiliarios y enseres,1500
2016,08,921A,62600,Equipamiento para proceso de la información,19000
2016,08,921A,64003,Aplicaciones informáticas,25069
2016,08,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12657
2016,08,912A,10001,Otras remuneraciones,46413
2016,08,912A,10005,Trienios/Antigüedad,5079
2016,08,912A,16010,Cuotas sociales altos cargos,11007
2016,08,921H,12000,Sueldo,515632
2016,08,921H,12005,Trienios,107547
2016,08,921H,12101,Complementos al puesto de trabajo,362694
2016,08,921H,12102,Indemnizaciones por residencia,60807
2016,08,921H,12103,Complementos específico,545262
2016,08,921H,12109,Otros complementos,5684
2016,08,921H,13000,Salario Base,143765
2016,08,921H,13001,Otras remuneraciones,95394
2016,08,921H,13005,Antiguedad,28634
2016,08,921H,13100,Salario base,62351
2016,08,921H,13101,Otras remuneraciones,33840
2016,08,921H,13105,Antiguedad,6089
2016,08,921H,16012,Cuotas sociales funcionarios y pers. estatutario,362197
2016,08,921H,16013,Cuotas sociales laborales,112319
2016,08,921H,20500,Mobiliario y enseres,3600
2016,08,921H,20600,Equipamiento para proceso de la información,1000
2016,08,921H,21400,Elementos de transportes,200
2016,08,921H,21500,Mobiliario y enseres,8500
2016,08,921H,21600,Equipamiento para proceso de la información,1000
2016,08,921H,22000,Material de oficina ordinario no inventariable,10160
2016,08,921H,22001,"Prensa, revistas, libros y otras publicaciones",200
2016,08,921H,22002,Material informático no inventariable,4920
2016,08,921H,22005,Productos farmacéuticos,1000
2016,08,921H,22009,Otros suministros no tarifados,1500
2016,08,921H,22103,Combustible,150
2016,08,921H,22201,Postales,1500
2016,08,921H,22601,Atenciones protocolarias y representativas,500
2016,08,921H,22606,"Reuniones, cursos y conferencias",8400
2016,08,921H,23000,Indemnizaciones por razón del servicio,69259
2016,08,921H,62600,Equipamiento para proceso de la información,44000
2016,08,921H,64001,Gastos de investigación y desarrollo,30000
2016,08,921H,64022,Estudios y trabajos técnicos,19260
2016,08,912A,10000,Retrib.básic. y otras ret. del Gob.y altos Cargos,12657
2016,08,912A,10001,Otras remuneraciones,47149
2016,08,912A,10005,Trienios/Antigüedad,5194
2016,08,921A,12000,Sueldo,26909
2016,08,921A,12005,Trienios,4992
